Ticker,Period Ending,Gross Margin,Debt/Equity,Earnings per Share (Basic),Share Price,Return
AAPL,9/30/17,0.3791,1.7999,2.0800,155.30,0.077125815
AAPL,7/1/17,0.3851,1.6068,1.6800,144.18,0.005860193
AAPL,4/1/17,0.3893,1.4950,2.1100,143.34,0.215672971
AAPL,12/31/16,0.3851,1.5013,3.3800,117.91,0.042989828
AAPL,9/24/16,0.3802,1.5083,1.6800,113.05,0.178955053
AAPL,6/25/16,0.3802,1.4150,1.4300,95.89,-0.128193472
AAPL,3/26/16,0.3940,1.3400,1.9100,109.99,0.044936348
AAPL,12/26/15,0.4010,1.2865,3.3000,105.26,-0.046385215
AAPL,9/26/15,0.3990,1.4337,1.9700,110.38,-0.127016767
AAPL,6/27/15,0.3968,1.1734,1.8600,126.44,0.008937121
AAPL,3/28/15,0.4078,1.0247,2.3400,125.32,0.146254459
AAPL,12/27/14,0.3987,1.1236,3.0800,109.33,0.08516129
