Ticker,Period Ending,Gross Margin,Debt/Equity,Earnings per Share (Basic),Share Price,Return
DUK,12/31/17,0.2176,2.3044,1.0000,84.11,0.002264061
DUK,9/30/17,0.2615,2.2737,1.3600,83.92,0.003947841
DUK,6/30/17,0.2497,2.2693,0.9800,83.59,0.019265943
DUK,3/31/17,0.2508,2.2562,1.0200,82.01,0.056557588
DUK,12/31/16,0.1592,2.2348,0.5300,77.62,-0.030234883
DUK,9/30/16,0.2971,2.1985,1.4400,80.04,-0.067024129
DUK,6/30/16,0.2415,2.0703,0.9000,85.79,0.063336639
DUK,3/31/16,0.2306,2.0472,0.8300,80.68,0.13013027
DUK,12/31/15,0.1836,2.0463,0.7000,71.39,-0.00764526
DUK,9/30/15,0.2604,2.0358,1.3600,71.94,0.018691589
DUK,6/30/15,0.2229,1.9930,0.8700,70.62,-0.080229226
DUK,3/31/15,0.2401,1.9728,1.0900,76.78,-0.08091932
DUK,12/31/14,0.1777,1.9477,0.6900,83.54,0.117293032
